system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,SCL,date,sun_azimuth,sun_zenith,view_azimuth_mean,view_zenith_mean,.geo
20230924T103659_20230924T103655_T31UGU,0.1116,0.26330000000000003,0.1779,0.12940000000000002,0.14650000000000002,0.13440000000000002,0.16970000000000002,0.33740000000000003,0.4141,0.42800000000000005,0.432,0.45270000000000005,4.0,2023-09-24,168.008032229782,53.7643549877508,125.795614801742,3.76223228663138,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230924T103659_20230924T103655_T32ULC,0.11330000000000001,0.2626,0.18000000000000002,0.1291,0.1453,0.1338,0.1673,0.3351,0.4107,0.4348,0.4353,0.45230000000000004,4.0,2023-09-24,168.096573425916,52.9023927872371,183.550296836712,3.06357494364432,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231108T104241_20231108T104349_T31UGT,0.1418,0.22410000000000002,0.2068,0.1388,0.149,0.1509,0.1736,0.20400000000000001,0.223,0.2083,0.24760000000000001,0.2343,5.0,2023-11-08,172.204761057266,68.6773943766046,163.903129798557,3.12501166119695,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231108T104241_20231108T104349_T31UGU,0.1365,0.21910000000000002,0.2026,0.1351,0.1461,0.14830000000000002,0.17,0.1993,0.217,0.2038,0.2411,0.2296,5.0,2023-11-08,172.265680043573,69.5652565405824,125.583208443111,3.74323376895539,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231108T104241_20231108T104349_T32ULC,0.1542,0.22060000000000002,0.2018,0.1348,0.1436,0.1506,0.17400000000000002,0.2088,0.2223,0.199,0.2482,0.2597,5.0,2023-11-08,172.404508086953,68.7004101192788,184.06649089122,3.05404201032811,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231128T104401_20231128T104509_T31UGT,0.1545,0.2665,0.2121,0.1583,0.169,0.1643,0.21030000000000001,0.2717,0.29560000000000003,0.3085,0.3138,0.34140000000000004,5.0,2023-11-28,171.610983762463,73.4868468925078,162.282695486021,3.13361511097355,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231128T104401_20231128T104509_T31UGU,0.152,0.2595,0.2074,0.1557,0.16590000000000002,0.16140000000000002,0.2053,0.2641,0.28750000000000003,0.30110000000000003,0.3045,0.33330000000000004,5.0,2023-11-28,171.662436014951,74.3733208181992,124.020353821112,3.79009002683158,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231128T104401_20231128T104509_T32ULC,0.15030000000000002,0.2748,0.21630000000000002,0.1573,0.1714,0.16440000000000002,0.20850000000000002,0.2868,0.30660000000000004,0.3295,0.3254,0.3472,5.0,2023-11-28,171.799220663276,73.5085710798268,181.494107148508,3.04646017253607,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231203T104319_20231203T104321_T31UGT,0.1651,0.28200000000000003,0.23450000000000001,0.1763,0.183,0.17980000000000002,0.2209,0.2818,0.305,0.3179,0.31470000000000004,0.3367,5.0,2023-12-03,171.27287132713,74.3187235865927,162.355306283054,3.13440912201075,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231203T104319_20231203T104321_T31UGU,0.16160000000000002,0.274,0.22870000000000001,0.1746,0.18080000000000002,0.1773,0.2157,0.27390000000000003,0.29610000000000003,0.3093,0.3054,0.328,5.0,2023-12-03,171.323595432835,75.20436275981,124.832595981873,3.79272640683895,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20231203T104319_20231203T104321_T32ULC,0.1574,0.2894,0.2353,0.1757,0.1796,0.17750000000000002,0.2218,0.28500000000000003,0.3064,0.3275,0.32880000000000004,0.34540000000000004,5.0,2023-12-03,171.459199066233,74.3397161648953,181.27009339414,3.04541244144002,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
